num-flashcard,english-word,irregular-english-word,definition,example-sentence,translate-example-sentence
648,witness,,1. (sus.) Testigo,Why didn't you tell us there was a witness?,¿Por qué no nos dijiste que había un testigo?
649,cap,,"1. (sus.) Tapa, tapón.",I couldn't get the cap off the bottle.,No pude quitar la tapa de la botella.
650,smooth,,"1. (adj.) Suave, liso. ; 2. (v.) Alizar.",Mary looked in the mirror and smoothed her hair.,Mary se miró en el espejo y se alisó el cabello.
651,figure out,,"1. (v.) Resolver, entender, averiguar",I tried to figure out what John was doing.,Traté de averiguar qué estaba haciendo John.
652,helmet,,1. (sus.) Casco.  ; 2. (sus.) Yelmo.,Wade put on his bike helmet.,Wade se puso el casco de bicicleta.
653,belt,,1. (sus.) Cinturón,Carter gained so much weight that he had to get a bigger belt.,Carter ganó tanto peso que tuvo que conseguir un cinturón más grande.
654,starve,,"1. (v.) Morir de hambre  ; 2. (v.) Figurativamente, pasar mucha hambre.",What's for dinner? I'm starving.,¿Que hay para cenar? Estoy muriendo de hambre.
655,perform,,"1. (v.) Actuar, representar.  ; 2. (v.) Bailar, cantar.",I don't like to perform in front of other people.,No me gusta actuar frente a otras personas.
656,concern,,"1. (v.) Interesar, afectar, concernir. ; 2. (sus.) Preocupación.",This issue doesn't concern you.,Este problema no te concierne.
657,suggest,,1. (v.) Sugerir.,"If you want to master English, I suggest you start watching more shows!","Si quieres dominar el inglés, ¡te sugiero que comiences a ver más programas!"
658,lean,,"1. (v.) Incllinarse.  ; 2. (v.) Apoyarse en algo, recargar en o sobre algo.",Jane leaned her head on his shoulder.,Jane apoyó la cabeza en su hombro.
659,find out,found out,"1. (v.) Averiguar, enterarse de, darse cuenta.",I just found out that Mike speaks German.,Me acabo de enterar que Mike habla alemán.
660,pencil,,1. (sus.) Lápiz,I only draw with a pencil since I like to erase things.,Solo dibujo con lápiz ya que me gusta borrar cosas.
661,dot,,"1. (sus.) Punto.  ; 2. (sus.) Mancha, marca.",Jon's shirt is covered in dots.,La camisa de Jon está cubierta de puntos.
662,thick,,"1. (adj.) Grueso, gordo.  ; 2. (adj.) Denso, espeso.",The flight was canceled because of the thick fog.,El vuelo fue cancelado debido a la espesa niebla.
663,fabric,,1. (sus.) Tela.,The dress is made of a thin fabric.,El vestido está hecho de una tela fina.
664,awkward,,"1. (adj.) Incómodo, embarazoso.   ; 2. (adj.) Torpe.",I feel awkward about asking him again.,Me siento incómodo por preguntarle de nuevo.
665,being,,1. (sus.) Ser.  ; 2. (sus.) Existencia.,You're talking about a human being.,Estás hablando de un ser humano.
666,empty,,1. (adj.) Vacío  ; 2. (v.) Vaciar.,He threw an empty beer can at the wall.,Arrojó una lata de cerveza vacía a la pared.
667,degree,,1. (sus.) Título académico. ; 2. (sus.) Grado.,He got a degree in marketing.,Obtuvo un título en marketing.
668,duty,,"1. (sus.) Deber, obligación.   ; 2. (sus.) Tarea asignada.",She has a sense of duty.,Ella tiene un sentido del deber
669,flip out,,"1. (v.) Ponserse como loco, volverse loco, enloquecer","I'll tell you, but only if you promise not to flip out.","Te lo diré, pero solo si prometes no enloquecer."
670,furniture,,1. (sus.) Mobiliario.,Charlie is helping Tessa move the furniture.,Charlie está ayudando a Tessa a mover los muebles.
671,cow,,1. (sus.) Vaca.,How do you milk a cow?,¿Cómo se ordeña una vaca?
672,rubber,,1. (sus.) Goma.                                                                       ; 2. (sus.) Hule.,Laura put on her rubber gloves.,Laura se puso los guantes de goma.
673,fear,,1. (v.) Temer.  ; 2. (sus.) Miedo.,What's your greatest fear?,¿Cuál es tu mayor miedo?
674,prove,,1. (v.) Demostrar. ; 2. (v.) Probar.,How can we prove that?,¿Cómo podemos demostrar eso?
675,slide,,"1. (v.) Deslizar, deslizarse.  ; 2. (v.) Resbalar.",She slid a little closer to him on the sofa.,Se deslizó un poco más cerca de él en el sofá.
676,get along with,,1. (v.) Llevarse bien con,I get along with most of my roommates.,Me llevo bien con la mayoría de mis compañeros de cuarto.
677,dumb,,"1. (adj.) Tonto, estúpido  ; 2. (adj.) Mudo.",That was a really dumb thing to do.,Eso fue algo realmente tonto de hacer.
678,bath,,1. (sus.) Baño.,"She's taking a bath, isn't she?","Ella se está bañando, ¿no?"
679,subject,,1. (sus.) Tema.  ; 2. (sus.) Sujeto.,"Don't change the subject, this is really important.","No cambies del tema, esto es realmente importante."
680,advantage,,1. (sus.) Ventaja,"They had an advantage, but hadn't won yet.","Tenían una ventaja, pero aún no habían ganado."
681,according to,,1. (prep.) Según,"According to her, he isn't coming tonight.","Según ella, él no viene esta noche."
682,jealous,,1. (adj.) Celoso.  ; 2. (adj.) Envidioso.,It looks like Melissa is jealous.,Parece que Melissa está celosa.
683,subway,,1. (sus.) Metro.,Why don't we take the subway?,¿Por qué no tomamos el metro?
684,tight,,"1. (adj.) Ajustado, apretado.   ; 2. (adj.) Firme, rígido.",These pants are too tight for me.,Estos pantalones son demasiado apretados para mí.
685,get around to,,"1. (v.) Encontrar el momento para, llegar a",Let me know when you get around to it.,Avísame cuando te llegues a hacerlo.
686,tune,,"1. (sus.) Melodía, canción, tonada.  ; 2. (v.) Afinar, ajustar.",What was the name of that tune you were playing?,¿Cómo se llamaba esa canción que estabas tocando?
687,recognize,,1. (v.) Reconocer.,Doug recognized Kelly by her voice.,Doug reconoció a Kelly por su voz.
688,nurse,,1. (sus.) Enfermera.,Lucy moved to Boston to become a nurse.,Lucy se mudó a Boston para convertirse en enfermera.
689,barely,,1. (adv.) Apenas.,They barely touched their dinner.,Ellos apenas tocaron su cena.
690,cartoon,,1. (sus.) Caricatura.,I used to watch this cartoon every Sunday when I was a kid.,Solía ​​ver esta caricatura todos los domingos cuando era niño.
691,schedule,,1. (sus.) Programa.  ; 2. (sus.) Horario.,We have a busy schedule this week,Tenemos un horario ocupado esta semana.
692,soap,,1. (sus.) Jabón.,Wash the pans in soap and water.,Lava las cacerolas con agua y jabón.
693,available,,1. (adj.) Disponible,Chris is available on Wednesdays and Thursdays.,Chris está disponible los miércoles y los jueves.
694,get in,,"1. (v.) Subir a, meterse a","Get in losers, we're going shopping.","Súbanse perdedores, nos vamos de compras."
695,proof,,1. (sus.) Prueba.,There isn't any proof that Diana did that.,No hay ninguna prueba de que Diana hiciera eso.
696,bridge,,1. (sus.) Puente.,There's a shop on the otherside of the bridge,Hay una tienda en los otros lugares del puente.
697,brand,,1. (sus.) Marca,They sell all the best brands here.,Venden todas las mejores marcas aquí.
698,bitter,,1. (adj.) Amargo.,It tasted really bitter.,Sabía muy amargo.
699,disease,,1. (sus.) Enfermedad.,He has a bad disease.,Tiene una mala enfermedad.
700,file,,"1. (sus.) Archivo, fichero  ; 2. (v.) Archivar.",I always keep my files organized so I can find them again.,Siempre mantengo mis archivos organizados para que pueda encontrarlos de nuevo.
701,charity,,1. (sus.) Caridad. ; 2. (sus.) Organización benéfica.,They chose to donate half their income to charity.,Eligieron donar la mitad de sus ingresos a la caridad.
702,holy,,"1. (adj.) Santo, sagrado.  ; 2. (adj.) Santificado.",Humility is one of the seven holy virtues.,La humildad es una de las siete santas virtudes.
703,holiday,,"1. (sus.) Feriado, festivo, día de fiesta  ; 2. (sus.) Vacaciones",Roger is going home for the holidays.,Roger se va a casa para las vacaciones.
704,apology,,"1. (sus.) Disculpa, excusa.",Griffin realized that his apologies to Sandra were going nowhere.,Griffin se dio cuenta de que sus disculpas a Sandra no iban a ninguna parte.
705,snap,,"1. (v.) Decir bruscamente, chasquear. ; 2. (v.) Romper, partirse.",You don't have to snap at me like that.,No tienes que hablarme bruscamente de esa forma.
706,boat,,"1. (sus.) Bote, barco, yate.",Larry rented a boat for the party.,Larry alquiló un bote para la fiesta.
707,steam,,1. (sus.) Vapor.  ; 2. (v.) Humear.,His shower was so hot the entire bathroom was full of steam.,Su ducha estaba tan caliente que todo el baño estaba lleno de vapor.
708,smash,,"1. (v.) Aplastar, estrellar.",The plate smashed against the floor.,El plato se estrelló contra el suelo.
709,sake,,"1. (sus.) Causa, interés, beneficio.  ; 2. (sus.) Propósito, finalidad.","Please pay attention, we're doing this for your sake.","Por favor, preste atención, estamos haciendo esto para su beneficio."
710,weather,,"1. (sus.) Tiempo, reporte meteorológico.",The weather's been really bad,El clima ha sido muy malo.
711,get something over with,,1. (v.) Terminar o acabar con algo,Just get it over with. I can't wait any longer.,Acaba de una vez. No puedo esperar más.
712,scare,,1. (v.) Asustar.  ; 2. (v.) Atemorizar.,Wayne was scared to tell Marie.,Wayne tenía miedo de decírselo a Marie.
713,pregnant,,1. (adj.) Embarazada,Gabriella told me she was pregnant.,Gabriella me dijo que estaba embarazada.
714,blanket,,1. (sus.) Manta.  ; 2. (sus.) Manto.,Go get him a blanket. He looks really cold.,Ve a buscarle una manta.
715,dare,,1. (sus.) Atrevimiento.                                                              ; 2. (v.) Atreverse,How dare you do this to me again?,¿Cómo te atreves a hacerme esto otra vez?
716,flush,,1. (v.) Tirar de la cadena del retrete.                                                    ; 2. (v.) Descargar el inodoro.,Please be sure to flush the toilet when you finish.,"Por favor, asegúrese de descargar el inodoro cuando termine."
717,delay,,"1. (sus.) Retraso.  ; 2. (v.) Retrasar, posponer.",The 2020 Olympics were delayed for about a year.,Los Juegos Olímpicos de 2020 se han retrasado alrededor de un año.
718,strong,,1. (adj.) Fuerte.,I go to the gym because I want to be stronger.,Voy al gimnasio porque quiero ser más fuerte.
719,get up,,1. (v.) Levantarse,"I usually get up at 7:30, but I slept until 8 today.","Normalmente me levanto a las 7:30, pero hoy dormí hasta las 8."
720,scam,,"1. (v.) Estafar, timar.  ; 2. (sus.) Estafa, timo.","Don't answer that call, they're just trying to scam you.","No contestes esa llamada, solo están tratando de estafarte."
721,otherwise,,"1. (adv.) Por lo demás, por otra parte, de lo contrario.  ; 2. (adj.) De otra forma.",It's ridiculous to assume otherwise.,Es ridículo asumir lo contrario.
722,dessert,,1. (sus.) Postre.,Hanna didn't eat dessert.,Hanna no comió postre.
723,clever,,"1. (adj.) Inteligente, listo.  ; 2. (adj.) Hábil.","Sabrina is really clever, isn't she?","Sabrina es muy inteligente, ¿no?"
724,loan,,1. (sus.) Préstamo.  ; 2. (v.) Prestar.,Pamela went to the bank to take out a loan.,Pamela fue al banco a pedir un préstamo.
725,give up,,"1. (v.) Rendirse, ceder ; 2. (v.) Dejar, abandonar",Don't give up until you've tried a few times.,No te rindas hasta que lo hayas intentado varias veces.
726,vacuum,,1. (sus.) Pasar la aspiradora.   ; 2. (sus.) Aspiradora.,Spencer never vacuums his apartment.,Spencer nunca aspira su apartamento.
727,remain,,1. (v.) Permanecer. ; 2. (v.) Quedar.,You need to hurry! There are only 5 seconds remaining.,¡Tienes que darte prisa! Solo quedan 5 segundos.
728,regret,,1. (sus.) Arrepentimiento.  ; 2. (v.) Lamentar.,She said she didn't have any regrets.,Ella dijo que no se arrepiente de nada.
729,handsome,,1. (adj.) Guapo.,"Dallas's really handsome, but he's not very smart.","Dallas es muy guapo, pero no es muy inteligente."
730,fund,,1. (sus.) Fondo. ; 2. (v.) Financiar.,The government funded the entire project!,¡El gobierno financió todo el proyecto!
731,nail,,1. (sus.) Clavo.  ; 2. (sus.) Uña.,Be careful of the nails sticking out of the wall.,Tenga cuidado con los clavos que sobresalen de la pared.
732,go ahead,"went out, gone out",1. (v.) Seguir adelante,Go ahead and start!,¡Sigue adelante y comienza!
733,wrap,,1. (v.) Envolver.,She wrapped her arm around him.,Ella envolvió su brazo alrededor de él.
734,hop,,"1. (v.) Brincar, saltar.",Sam hopped down from the bed.,Sam saltó de la cama.
735,moon,,1. (sus.) Luna.,"Eugene sat in his front yard, looking up at the moon.","Eugene se sentó en su patio delantero, mirando hacia la luna."
736,chop,,1. (v.) Cortar  ; 2. (v.) Cortar en pedacitos,Phillip is chopping wood in the backyard.,Phillip está cortando leña en el patio trasero.
737,view,,1. (sus.) Vista. ; 2. (v.) Ver.,What a magnificent view!,¡Qué magnífica vista!
738,rough,,"1. (adj.) Áspero, rugoso.  ; 2. (adj.) Malo, escabroso, difícil.",Amber is going through a rough time.,Amber está pasando por un mal momento.
739,main,,1. (adj.) Principal.,The main character in the book is such an idiot.,El personaje principal del libro es un idiota.
740,cart,,1. (sus.) Carrito. ; 2. (sus.) Carreta.,"Mike, can you get me a cart please?","Mike, ¿puedes traerme un carrito, por favor?"
741,gross out,,"1. (v.) Dar asco a, asquear",Bugs totally gross me out.,Los bichos me dan asco.
742,stretch,,1. (v.) Estirar.  ; 2. (v.) Extender.,Aubrey stretched her arms above her head.,Aubrey estiró los brazos por encima de la cabeza.
743,brush,,1. (sus.) Cepillo.  ; 2. (v.) Cepillar.,Emerson didn't have time to brush his teeth.,Emerson no tuvo tiempo de cepillarse los dientes.
744,thief,,1. (sus.) Ladrón.,Anderson saw the thief from the bedroom window.,Anderson vio al ladrón desde la ventana del dormitorio.
745,rope,,1. (sus.) Cuerda.,I usually just use a rope to hold it shut.,"Por lo general, solo uso una cuerda para mantenerlo cerrado."
746,stone,,1. (sus.) Piedra.,I love that the buildings are made of stone.,Me encanta que los edificios estén hechos de piedra.
747,add,,"1. (v.) Añadir, adjuntar. ; 2. (v.) Sumar.",She likes to add sugar to her tea.,Le gusta agregar azúcar a su té.
748,commitment,,"1. (sus.) Responsabilidad, obligación.  ; 2. (sus.) Compromiso.",Arianna says that Dominic is afraid of commitment.,Arianna dice que Dominic tiene miedo al compromiso.
749,seed,,1. (sus.) Semilla.,"Jackson ate the whole apple, seeds and all.","Jackson se comió la manzana entera, con semillas y todo."
750,grow up,,"1. (v.) Crecer, criarse",I want my kid to grow up in a safe country.,Quiero que mi hijo crezca en un país seguro.
751,wire,,1. (sus.) Cable.  ; 2. (sus.) Alambre.,These wires are connected to the switch.,Estos cables están conectados al interruptor.
752,get there,,1. (v.) Llegar.,We got to Boston safely.,Llegamos a salvo en Boston
753,fail,,"1. (v.) Reprobar. ; 2. (v.) Fracasar, fallar.","If you don't study, you will fail the course.","Si no estudias, reprobarás el curso."
754,encourage,,"1. (v.) Alentar, animar.  ; 2. (v.) Fomentar.",I encouraged her to follow her dreams,La animé a seguir sus sueños.
755,spell,,"1. (v.) Deletrear, escribir. ; 2. (sus.) Hechizo, encantamiento.","Could you spell that for me, please?","¿Podrías deletrearlo para mí, por favor?"
756,bounce,,1. (v.) Rebotar.,We watched the ball bounce down the street.,Vimos la pelota rebotar por la calle.
757,hand in,,1. (v.) Entregar,Don't forget to hand in last weeks homework!,¡No olviden entregar la tarea de la semana pasada!
758,trial,,"1. (sus.) Proceso judicial, juicio. ; 2. (sus.) Ensayo, prueba.",Amanda never got a fair trial,Amanda nunca tuvo un juicio justo.
759,make fun of,,"1. (v.) Burlarse, burlarse de.  ; 2. (v.) Imitar, simular.",Don't make fun of me! It's a reasonable thing to say.,¡No te burles de mí! Es algo razonable de decir.
760,haul,,"1. (v.) Arrastrar, tirar.",She hauled her luggage through the airport.,Arrastrró su equipaje por el aeropuerto.
761,sour,,1. (adj.) Ácido.,I like sour candies a lot.,Me gustan mucho los dulces ácidos.
762,shock,,"1. (sus.) Choque, sacudida.  ; 2. (sus.) Asombro.",He stood there with a shooked look on his face.,Se quedó allí con una mirada de asombro en su rostro.
763,cage,,1. (sus.) Jaula.,I don't like putting my dog in a cage.,No me gusta poner a mi perro en una jaula.
764,pipe,,"1. (sus.) Caño, tubo, tuberías.  ; 2. (sus.) Pipa.",I worry about the pipes freezing during the winter.,Me preocupa que las tuberías se congelen durante el invierno.
765,lend,,1. (v.) Prestar.,I have a pair of skis I could lend you.,Tengo un par de esquís que podría prestarte.
766,gut,,"1. (sus.) Agallas, coraje. ; 2. (sus.) Tripas.",I don't have the guts to do that.,No tengo las agallas para hacer eso.
767,recipe,,1. (sus.) Receta (de cocina).  ; 2. (sus.) Fórmula.,You can use milk instead of water in this recipe.,Puede usar leche en lugar de agua en esta receta.
768,hang on to,hung on to,"1. (v.) Agarrarse, guardar",Hang on to your receipt just in case there's an issue.,Guarde su recibo en caso de que haya un problema.
769,spread,,"1. (v.) Esparcir, difundir.  ; 2. (v.) Extender.",The bird spread it's wings and flew away.,El pájaro extendió sus alas y voló.
770,balloon,,1. (sus.) Globo.,Shelby filled the balloon with water.,Shelby llenó el globo con agua.
771,give birth,,1. (sus.) Nacimiento.  ; 2. (v.) Dar a luz.,Suzy gave birth to a baby girl.,Suzy dio a luz a una niña.
772,drag,,1. (v.) Arrastrar. ; 2. (sus.) Algo o alguien aburrido.,Michael was dragging Linda by the hair.,Michael estaba arrastrando a Linda por el pelo.
773,slight,,"1. (adj.) Leve, pequeño, suave. ; 2. (adj.) Poco importante; insignificante.",He said he had a slight cold.,Dijo que tenía un leve resfriado.
774,struggle,,"1. (sus.) Gran esfuerzo.  ; 2. (v.) Luchar, forcejear.",I have to struggle to get up each morning.,Tengo que esforzarme para levantarme cada mañana.
775,rare,,"1. (adv.) Rara vez, casi nunca. ; 2. (adj.) Raro, poco común.",Michelle rarely goes there anymore.,Michelle rara vez va allí.
776,poison,,1. (sus.) Veneno.  ; 2. (v.) Envenenar.,The wine glass had poison in it.,La copa de vino tiene veneno.
777,hang out,hung out,"1. (v.) Pasar el rato, andar, salir con",You want to hang out with Tom later?,¿Quieres salir con Tom más tarde?
778,replace,,1. (v.) Reemplazar.,"Things can be replaced, but people can't.","Las cosas pueden ser reemplazadas, pero las personas no."
779,loose,,"1. (adj.) Flojo, holgado, suelto.",Kimberly shook her hair loose.,Kimberly sacudió su cabello suelto.
780,ill,,1. (adj.) Enfermo.,Beverly said she'd been ill.,Beverly dijo que había estado enferma.
781,spicy,,1. (adj.) Picante.,This dish is too spicy for me.,Este plato es demasiado picante para mí.
782,dig,,"1. (v.) Cavar, escarbar.",Carson dug a hole in the ground with his shovel.,Carson cavó un hoyo en el suelo con su pala.
783,nap,,"1. (sus.) Siesta.  ; 2. (v.) Dormir una siesta, echar una cabezada.",Do you take naps very often?,¿Tomas siestas a menudo?
784,jam,,"1. (sus.) Jalea, mermelada.","For breakfast, I usually eat two slices of toast with jam.","Para el desayuno, suelo comer dos rebanadas de pan tostado con mermelada."
785,refund,,1. (v.) Reembolsar.  ; 2. (sus.) Reembolso.,I finally got a refund after three months.,Finalmente obtuve un reembolso después de tres meses.
786,chart,,1. (sus.) Carta.  ; 2. (sus.) Gráfico.,Kayla loves charts and graphs.,Kayla ama los cuadros y gráficos.
787,hang up,hung up,1. (v.) Colgar,Hang up the phone and come here!,¡Cuelga el teléfono y ven aquí!
788,regard,,"1. (sus.) Consideración, atención.  ; 2. (sus.) Estima, consideración, respeto",I have a high regard for Jessica.,Tengo un gran respeto por Jessica.
789,root,,1. (sus.) Raíz.,The tree by my house has the biggest roots I've ever seen.,El árbol de mi casa tiene las raíces más grandes que he visto en mi vida.
790,chain,,1. (sus.) Cadena.  ; 2. (v.) Encadenar.,He tore off the chain and threw it on the ground.,Él le arrancó la cadena y la tiró al suelo.
791,butt,,"1. (sus.) Trasero.  ; 2. (sus.) Culo, nalgas","Hey Richard, you have something on your butt!","¡Oye, Richard, tienes algo en el trasero!"
792,beyond,,1. (prep.) Más allá de.  ; 2. (prep.) Superior a.,You can see the mountains beyond the hills.,Puedes ver las montañas más allá de las colinas.
793,pillow,,"1. (sus.) Almohada, Faceruelo",This pillow is too soft. I need something a bit harder.,Esta almohada es demasiado blanda. Necesito algo un poco más difícil.
794,hold on,,"1. (v.) Esperar, aguantar",Can you hold on for just a moment?,¿Puedes esperar un momento?
795,drain,,"1. (v.) Drenar, escurrir.",Mike watched the water drain out of the tub.,Mike observó cómo el agua se escurría de la bañera.
796,flat,,"1. (adj.) Plano, liso.",Alan was lying flat on his back on a hospital bed.,Alan estaba acostado boca arriba en una cama de hospital.
797,item,,1. (sus.) Ítem.                                                                          ; 2. (sus.) Objeto.,You're permitted to bring 5 items into the room.,Estás permitido traer 5 objetos a la habitación.
798,exit,,1. (sus.) Salida.,Tucker headed towards the exit.,Tucker se dirigió hacia la salida.
799,indeed,,"1. (adv.) Realmente, verdaderamente.  ; 2. (adv.) En realidad, en verdad.","Yes indeed, it certainly is.","Sí, en verdad, ciertamente lo es."
800,pole,,1. (sus.) Poste.,Just tie your dog to the pole and come in with me.,Solo ata a tu perro al poste y ven conmigo.
801,feature,,1. (sus.) Rasgo.  ; 2. (sus.) Característica.,I think his nose is his best feature.,Creo que su nariz es su mejor característica.
802,thumb,,1. (sus.) Dedo pulgar.,He hit his thumb with a hammer.,Se golpeó el pulgar con un martillo.
803,keep on,,"1. (v.) Seguir, continuar",Just keep on practicing and you'll get better.,Sigue practicando y mejorarás.
804,recall,,1. (sus.) Memoria.  ; 2. (v.) Recordar.,I don't recall saying you were allowed to come with us.,No recuerdo haber dicho que te permitieron venir con nosotros.
805,wander,,1. (v.) Pasear.  ; 2. (v.) Vagar.,"When I'm in a new city, I just like to wander.","Cuando estoy en una ciudad nueva, me gusta pasear."
806,bull,,1. (sus.) Toro.,Brandon is as strong as a bull.,Brandon es tan fuerte como un toro.
807,leather,,"1. (sus.) Cuero, piel.",Graham zipped up his leather jacket.,Graham subió la cremallera de su chaqueta de cuero.
808,swallow,,1. (v.) Tragar. ; 2. (v.) Ingerir.,I have trouble swallowing these big pills.,Tengo problemas para tragar estas pastillas grandes.
809,dough,,1. (sus.) Masa  ; 2. (sus.) Pasta,Let the dough rest in the fridge overnight.,Deja reposar la masa en la nevera durante la noche.
810,research,,1. (sus.) Investigación. ; 2. (v.) Investigar.,The scientists are doing important research.,Los científicos están haciendo una investigación importante.
811,kick out,,"1. (v.) Echar, expulsar, echar a patadas",Ben got kicked out of this bar last week.,Ben fue expulsado de este bar la semana pasada.
812,flavor,,1. (sus.) Sabor.,Which flavor of ice cream is your favorite?,¿Qué sabor de helado es tu favorito?
813,silver,,1. (sus.) Plata.,I will not settle for a silver medal.,No me conformaré con una medalla de plata.
814,exchange,,1. (sus.) Intercambio.  ; 2. (v.) Intercambiar.,Franklin and Kathy exchanged Christmas gifts.,Franklin y Kathy intercambiaron regalos de Navidad.
815,breakdown,,1. (sus.) Colapso.                                                                       ; 2. (sus.) Ruptura.,Bianca was having a nervous breakdown.,Bianca estaba teniendo una crisis nerviosa.
816,soul,,1. (sus.) Alma.,Do you believe that animals have souls?,¿Crees que los animales tienen alma?
817,alley,,1. (sus.) Callejón.  ; 2. (sus.) Callejuela.,Helen took a shortcut through a dark alley.,Helen tomó un atajo por un callejón oscuro.
818,revenge,,1. (sus.) Venganza.,Miriam will get her revenge.,Miriam se vengará.
819,attach,,"1. (v.) Sujetar, fijar.",Adam attached the trailer to his car.,Adam sujetó el remolque a su auto.
820,forgive,,1. (v.) Perdonar.,How could you forgive him after what he did?,¿Cómo podrías perdonarlo después de lo que hizo?
821,let down,,"1. (v.) Fallar, decepcionar","I know I let you down, but I want to try again.","Sé que te decepcioné, pero quiero intentarlo de nuevo."
822,pot,,1. (sus.) Olla.,Ruth filled the pot with water.,Ruth llenó la olla con agua.
823,argue,,"1. (v.) Discutir, litigar, argumentar, pelear.",Brandon and Nicole often argue about money.,Brandon y Nicole a menudo discuten por dinero.
824,mayor,,1. (sus.) Alcalde.,They elected her to be the mayor.,La eligieron para ser alcaldesa.
825,slap,,1. (v.) Abofetear. ; 2. (v.) Cachetear,She slapped him across the cheek.,Ella le dio una bofetada en la mejilla.
826,stall,,"1.(sus.) Compartimiento. ; 2. (sus.) Cuarto pequeño, cubículo.",Dorothy hid in a bathroom stall.,Dorothy se escondió en un cubículo del baño.
827,village,,"1. (sus.) Pueblo, aldea.",He was born in a small village in Scotland.,Nació en un pequeño pueblo de Escocia.
828,wise,,"1. (adj.) Sabio.  ; 2. (adj.) Prudente, juicioso.",Are you sure that's a wise decision?,¿Estás seguro de que es una sabia decisión?
829,look after,,"1. (v.) Cuidar de, atender",I can look after him for you!,¡Puedo cuidarlo por ti!
830,chuck,,"1. (v.) Arrojar, lanzar.  ; 2. (v.) Botar, tirar.",Brady chucked an apple at my head.,Brady me arrojó una manzana a la cabeza.
831,gate,,"1. (sus.) Puerta, verja.",Tyson showed his passport to the man at the gate.,Tyson mostró su pasaporte al hombre en la puerta.
832,height,,1. (sus.) Altura.  ; 2. (sus.) Altitud.,Trent was lying about his height.,Trent estaba mintiendo sobre su altura.
833,ban,,"1. (sus.) Prohibición, proscripción, veto.  ; 2. (v.) Prohibir, excluir, vetar.",He was banned from playing in the tournament.,Se le prohibió jugar en el torneo.
834,string,,"1. (sus.) Cuerda, cordel. ; 2. (sus.) Hilo.",A guitar has five strings.,Una guitarra tiene cinco cuerdas.
835,compliment,,1. (sus.) Cumplido.,Is that a compliment? Thank you!,¿Eso es un cumplido? ¡Gracias!
836,hunt,,1. (v.) Cazar,Byron went hunting in the woods.,Byron fue a cazar al bosque.
837,embarrass,,"1. (v.) Avergonzar, dar vergüenza.; 2. (v.) Humillar.",I get really embarrassed when I have to speak in public.,Me da mucha vergüenza cuando tengo que hablar en público.
838,flag,,1. (sus.) Bandera.,Roy waved the flag to start the race.,Roy agitó la bandera para dar comienzo a la carrera.
839,look forward to,,1. (v.) Tener muchas ganas de,I'm really looking forward to my trip to Colombia.,Tengo muchas ganas de mi viaje a Colombia.
840,legal,,1. (adj.) Legalmente.,Reading legal documents is really hard.,Leer documentos legales es realmente difícil.
841,below,,"1. (adv.) Abajo.  ; 2. (prep.) Debajo, por debajo de, debajo de.",Click on the link below this video.,Haga clic en el enlace debajo de este video.
842,pride,,1. (sus.) Orgullo.  ; 2. (v.) Enorgullecerse.,I take pride in what I do.,Me enorgullezco de lo que hago.
843,willing,,1. (adj.) Dispuesto.  ; 2. (adj.) Servicial.,Jacqueline said she wasn't willing to take that risk.,Jacqueline dijo que no estaba dispuesto a correr ese riesgo.
844,fold,,1. (v.) Doblar. ; 2. (v.) Cruzar (de brazos).,Lilith folded her arms across her chest.,Lilith cruzó los brazos sobre el pecho.
845,rack,,1. (sus.) Estante. ; 2. (sus.) Un espacio para poner algo.,Maryam locked her bike to the bike rack.,Maryam bloqueó su bicicleta en el estante para bicicletas.
846,healthy,,"1. (adj.) Saludable, sano.  ; 2. (adj.) Próspero.",Vegan food isn't always healthy for you.,La comida vegana no siempre es saludable para ti.
847,shift,,1. (sus.) Turno.  ; 2. (v.) Cambiar.,Joyce worked the night shifts,Joyce trabajaba en los turnos de noche.
848,look up,,1. (v.) Buscar (en el internet o un libro),"If you don't know a word, you should look it up.","Si no sabes una palabra, deberías buscarla."
849,streak,,"1. (sus.) Racha.  ; 2. (sus.) Cualidad, rasgo.",The Celtics are on a winning streak!,¡Los Celtics están en una racha ganadora!
850,upside,,"1. (sus.) Un resultado o aspecto bueno o positivo, ventaja.",What's the upside to that method?,¿Cuál es la ventaja de ese método?
851,behavior,,1. (sus.) Conducta.  ; 2. (sus.) Comportamiento.,I can't put up with Madison's behavior anymore.,No puedo aguantar más el comportamiento de Madison.
852,develop,,"1. (v.) Desarrollar, crear.  ; 2. (v.) Ampliar.",Sam developed ear issues when he was a child.,Sam desarrolló problemas cuando era un niño.
853,strap,,1. (sus.) Tirante.,Kylee adjusted the straps of her dress.,Kylee se ajustó los tirantes de su vestido.
854,gap,,"1. (sus.) Hueco, laguna, espacio.",Please mind the gap between the train and the platform.,Tenga en cuenta el hueco entre el tren y la plataforma.
855,several,,1. (adj.) Varios.,I stayed in California for several months.,Me quedé en California durante varios meses.
856,make up,,"1. (v.) Inventar ; 2. (v.) Reconciliarse, hacer las paces",Did you just make up that speech? It was really good.,¿Acabas de inventar ese discurso? Fue realmente bueno.
857,suspect,,1. (v.) Sospechar.  ; 2. (sus.) Sospechoso.,Bruce suspected that Doris came to the party to steal something.,Bruce sospechó que Doris vino a la fiesta a robar algo.
858,profit,,"1. (sus.) Ganancia, utilidades.",The business didn't produce a profit.,El negocio no produjo ganancias.
